TEST_ID	DATETIME_UTC	START_DATETIME_UTC	TEST_TYPE	APP_PLATFORM	APP_VERSION	ENGINE_VERSION	DEVICE_UUID	DEVICE_ALIAS	DEVICE	DEVICE_HWBRAND	DEVICE_HWMODEL	DEVICE_HACKED	DEVICE_BOARD_BRAND	DEVICE_BOARD_MODEL	DEVICE_CPU_BRAND	DEVICE_CPU_MODEL	DEVICE_CPU_ARCH	DEVICE_CPU_FREQUENCY	DEVICE_CPU_CORES	DEVICE_CPU_AES_SUPPORT	DEVICE_RAM	OS_NAME	OS_VERSION	OS_LOCALE	OS_KERNEL_TYPE	OS_KERNEL_VERSION	IP_VERSION	IPV4	IPV6	ISP	MOBILE_ISP	NET_TYPE	NET_TECHNO	NET_COMMENT	NET_NAME	NET_BEST_DOWNLINK_SPEED	NET_BEST_UPLINK_SPEED	MOBILE_SIM_MCC	MOBILE_SIM_MNC	MOBILE_SIM_OP	MOBILE_APN	RA_START_MODE	RA_START_CELL_GEN	RA_START_NET_MCC	RA_START_NET_MNC	RA_START_CELL_ID	RA_START_BASE_STATION_ID	RA_START_NETWORK_ID	RA_START_SYSTEM_ID	RA_START_LAC	RA_START_TAC	RA_START_PSC	RA_START_PCI	RA_START_CID	RA_START_RNC	RA_START_ENB	RA_START_ARFCN	RA_START_BANDWIDTH	RA_START_RSSI	RA_START_RSCP	RA_START_RSRP	RA_START_RSRQ	RA_START_RSSNR	RA_START_CQI	RA_START_ASU	RA_START_ECIO	RA_START_BER	RA_START_SNR	RA_START_CSI_RSRP	RA_START_CSI_RSRQ	RA_START_CSI_SINR	RA_START_SS_RSRP	RA_START_SS_RSRQ	RA_START_SS_SINR	RA_START_LEVEL	RA_START_TIMING_ADVANCE	RA_START_CARRIERS	RA_BEST_MODE	RA_BEST_CELL_GEN	RA_BEST_NET_MCC	RA_BEST_NET_MNC	RA_BEST_CELL_ID	RA_BEST_BASE_STATION_ID	RA_BEST_NETWORK_ID	RA_BEST_SYSTEM_ID	RA_BEST_LAC	RA_BEST_TAC	RA_BEST_PSC	RA_BEST_PCI	RA_BEST_CID	RA_BEST_RNC	RA_BEST_ENB	RA_BEST_ARFCN	RA_BEST_BANDWIDTH	RA_BEST_RSSI	RA_BEST_RSCP	RA_BEST_RSRP	RA_BEST_RSRQ	RA_BEST_RSSNR	RA_BEST_CQI	RA_BEST_ASU	RA_BEST_ECIO	RA_BEST_BER	RA_BEST_SNR	RA_BEST_CSI_RSRP	RA_BEST_CSI_RSRQ	RA_BEST_CSI_SINR	RA_BEST_SS_RSRP	RA_BEST_SS_RSRQ	RA_BEST_SS_SINR	RA_BEST_LEVEL	RA_BEST_TIMING_ADVANCE	RA_BEST_CARRIERS	RA_END_MODE	RA_END_CELL_GEN	RA_END_NET_MCC	RA_END_NET_MNC	RA_END_CELL_ID	RA_END_BASE_STATION_ID	RA_END_NETWORK_ID	RA_END_SYSTEM_ID	RA_END_LAC	RA_END_TAC	RA_END_PSC	RA_END_PCI	RA_END_CID	RA_END_RNC	RA_END_ENB	RA_END_ARFCN	RA_END_BANDWIDTH	RA_END_RSSI	RA_END_RSCP	RA_END_RSRP	RA_END_RSRQ	RA_END_RSSNR	RA_END_CQI	RA_END_ASU	RA_END_ECIO	RA_END_BER	RA_END_SNR	RA_END_CSI_RSRP	RA_END_CSI_RSRQ	RA_END_CSI_SINR	RA_END_SS_RSRP	RA_END_SS_RSRQ	RA_END_SS_SINR	RA_END_LEVEL	RA_END_TIMING_ADVANCE	RA_END_CARRIERS	WIFI_BSSID	WIFI_FREQUENCY	WIFI_SPOT	LOCATION_START_TYPE	LOCATION_START_FAKE	LOCATION_START_ACCURACY	LOCATION_START_LAT	LOCATION_START_LNG	LOCATION_START_ALTITUDE	LOCATION_START_ALTITUDE_ACCURACY	LOCATION_START_COUNTRY	LOCATION_START_AAL1	LOCATION_START_AAL2	LOCATION_START_LOCALITY	LOCATION_START_FULL_ADDRESS	LOCATION_END_TYPE	LOCATION_END_FAKE	LOCATION_END_ACCURACY	LOCATION_END_LAT	LOCATION_END_LNG	LOCATION_END_ALTITUDE	LOCATION_END_ALTITUDE_ACCURACY	LOCATION_END_COUNTRY	LOCATION_END_AAL1	LOCATION_END_AAL2	LOCATION_END_LOCALITY	LOCATION_END_FULL_ADDRESS	ENV_START_BATTERY_LEVEL	ENV_START_BATTERY_CHARGING	ENV_END_BATTERY_LEVEL	ENV_END_BATTERY_CHARGING	SPEED_STATUS	SPEED_SERVER_POOL_ID	SPEED_SERVER_POOL_TYPE	SPEED_SERVER_POOL_NAME	SPEED_SERVER_POOL_COUNTRY	SPEED_SERVER_POOL_LOCALITY	SPEED_SERVER_POOL_AUTOSELECT	SPEED_DOWNLOAD_AVG_EXCL_SLOWSTART	SPEED_DOWNLOAD_AVG_INC_SLOWSTART	SPEED_DOWNLOAD_PEAK	SPEED_DOWNLOAD_DURATION	SPEED_DOWNLOAD_CONNECTIONS	SPEED_DOWNLOAD_SLOWSTART_DURATION	SPEED_DOWNLOAD_CONNECTION_TIME	SPEED_DOWNLOAD_TLS_HANDSHAKE_TIME	SPEED_DOWNLOAD_PACKETLOSS	SPEED_DOWNLOAD_LOADED_LATENCY	SPEED_DOWNLOAD_LOADED_JITTER	SPEED_DOWNLOAD_BYTES_TRANSFERRED	SPEED_UPLOAD_AVG_EXCL_SLOWSTART	SPEED_UPLOAD_AVG_INC_SLOWSTART	SPEED_UPLOAD_PEAK	SPEED_UPLOAD_DURATION	SPEED_UPLOAD_CONNECTIONS	SPEED_UPLOAD_SLOWSTART_DURATION	SPEED_UPLOAD_CONNECTION_TIME	SPEED_UPLOAD_TLS_HANDSHAKE_TIME	SPEED_UPLOAD_LOADED_LATENCY	SPEED_UPLOAD_LOADED_JITTER	SPEED_UPLOAD_BYTES_TRANSFERRED	SPEED_LATENCY_AVG	SPEED_LATENCY_MIN	SPEED_LATENCY_JITTER	SPEED_LATENCY_SAMPLES	SPEED_PROTOCOL	SPEED_SOURCE_PORT_RANGE_MIN	SPEED_SOURCE_PORT_RANGE_MAX	FILE_SIZE	FILE_TYPE	FILE_URL	BROWSE_STATUS	BROWSE_PR	BROWSE_URL	BROWSE_URL_STATUS	BROWSE_URL_LOADING_TIME	BROWSE_URL_FCP	BROWSE_URL_WEIGHT	BROWSE_URL_PR	BROWSE_URL_INDEX	STREAM_QUALITY	STREAM_STATUS	STREAM_PR	STREAM_QUALITY_STATUS	STREAM_QUALITY_TOTAL_TIME	STREAM_QUALITY_PRELOADING_TIME	STREAM_QUALITY_REBUFFERING_TIME	STREAM_QUALITY_WEIGHT	STREAM_QUALITY_PR	STREAM_CODE	BYTES_TRANSFERRED	FLEET_CODE	FLEET_NAME	SCENARIO_ID	SCENARIO_NAME	SCHEDULING_NAME	EXTRA_SCRIPT	EXTRA_VALUE	WIFI_START_RSSI	WIFI_BEST_RSSI	WIFI_END_RSSI	SCHEDULED	MOBILE_MSISDN	SPEED_LATENCY_MEDIAN	SCENARIO_RUN_ID	DEVICE_ID	ISP_ID	MOBILE_ISP_ID	FORM_NAME
3519088638200919	"2024-06-13 18:56:39"	"2024-06-13 18:56:31"	speedLatency	android	1.11.0	3.15.0	51c47238-6d2e-3db2-aeb8-032bfa1ce771		"Honor MAGIC 5 PRO"	HONOR	PGT-N19	0				"ARM 0xd4e"	aarch64	0	8	0	11677151232	android	14	ro	Linux		4	5.14.137.77		"Digi Mobile RO"	"Digi Mobile RO"	mobile	Mobile	"Cellular network"	"Digi (RCS/RDS)"			226	5	Digi.Mobil		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-51		-87	-15	11		47										3	2	1|7000|4|lte|;15000;75;490;;|;;;;;	lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-51		-87	-15	11		47										3	2		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-59		-87	-9	11		45										3	2					gps	0	4	45.74816	21.23026	143.26098632812		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	gps	0	4	45.74816	21.23026	143.25952148438		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	25		24		OK	5545	ps	"RO DataPacket 10G - Bucharest"	ro	Bucharest	1	0	0	0	0	0	0	0						0	0	0	0	0	0	0					35	32	5	10	http																									0	KCXNT9	"Ancom 1"	278	"[nPerf speed test]"							0		35	c37dcd22-edb9-5b1f-ae55-3ff9ebaace79	9317	7539	7539	
3519088621656295	"2024-06-13 18:56:31"	"2024-06-13 18:56:21"	speedUpload	android	1.11.0	3.15.0	51c47238-6d2e-3db2-aeb8-032bfa1ce771		"Honor MAGIC 5 PRO"	HONOR	PGT-N19	0				"ARM 0xd4e"	aarch64	0	8	0	11677151232	android	14	ro	Linux		4	5.14.137.77		"Digi Mobile RO"	"Digi Mobile RO"	mobile	Mobile	"Cellular network"	"Digi (RCS/RDS)"			226	5	Digi.Mobil		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-55		-87	-13	11		46										3	2	1|7000|4|lte|;15000;75;490;;|;;;;;	lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-53		-88	-14	11		48										3	2		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-57		-87	-13	11		39										3	2					gps	0	4	45.74816	21.23026	143.25494384766		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	gps	0	4	45.74816	21.23026	143.26190185547		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	25		25		OK	5545	ps	"RO DataPacket 10G - Bucharest"	ro	Bucharest	1	0	0	0	0	0	0	0						24957	26130	29329	6561	16	1516	43		41.007	19.836	21430610	0	0	0	0	http	44768	44894																							21430610	KCXNT9	"Ancom 1"	278	"[nPerf speed test]"							0		0	c37dcd22-edb9-5b1f-ae55-3ff9ebaace79	9317	7539	7539	
3519088600100966	"2024-06-13 18:56:20"	"2024-06-13 18:56:10"	speedDownload	android	1.11.0	3.15.0	51c47238-6d2e-3db2-aeb8-032bfa1ce771		"Honor MAGIC 5 PRO"	HONOR	PGT-N19	0				"ARM 0xd4e"	aarch64	0	8	0	11677151232	android	14	ro	Linux		4	5.14.137.77		"Digi Mobile RO"	"Digi Mobile RO"	mobile	Mobile	"Cellular network"	"Digi (RCS/RDS)"			226	5	Digi.Mobil		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-61		-90	-9	11		43										3		1|7000|4|lte|;15000;75;490;;|;;;;;	lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-55		-88	-13	11		48										3	2		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-55		-87	-13	11		46										3	2					gps	0	4	45.74816	21.23026	143.24829101562		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	gps	0	4	45.74816	21.23026	143.25494384766		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	25		25		OK	5545	ps	"RO DataPacket 10G - Bucharest"	ro	Bucharest	1	199458	199458	215008	5055	16	0	51		0	102.647	7.049	126032824	0	0	0	0	0	0	0					0	0	0	0	http	41196	41300																							126032824	KCXNT9	"Ancom 1"	278	"[nPerf speed test]"							0		0	c37dcd22-edb9-5b1f-ae55-3ff9ebaace79	9317	7539	7539	
3519088544724010	"2024-06-13 18:55:53"	"2024-06-13 18:55:47"	speedUploadFile	android	1.11.0	3.15.0	51c47238-6d2e-3db2-aeb8-032bfa1ce771		"Honor MAGIC 5 PRO"	HONOR	PGT-N19	0				"ARM 0xd4e"	aarch64	0	8	0	11677151232	android	14	ro	Linux		4	5.14.137.77		"Digi Mobile RO"	"Digi Mobile RO"	mobile	Mobile	"Cellular network"	"Digi (RCS/RDS)"			226	5	Digi.Mobil		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-59		-92	-14	11		40										3	2	1|7000|4|lte|;15000;75;490;;|;;;;;	lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-55		-90	-14	11		38										3	2		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-55		-90	-14	11		38										3	2					gps	0	4	45.74816	21.23026	143.23791503906		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	gps	0	4	45.74816	21.23026	143.23571777344		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	25		25		OK	2752	ios	"DE OVH 10G - Limburg"	de	Limburg	1	0	0	0	0	0	0	0						3945	19907	7462	2107	1	2017	57		50.807	25.403	5243123	0	0	0	0	http	38824	38824	5242880	pdf	http://de-ovh-limburg-01-10g.nperf.net/upload																				5243123	KCXNT9	"Ancom 1"	232	"[Customized test model]"							0		0	d275c81f-85b3-547b-add1-a1bdfc85f5ce	9317	7539	7539	
3519088532365102	"2024-06-13 18:55:47"	"2024-06-13 18:55:30"	speedLatency	android	1.11.0	3.15.0	51c47238-6d2e-3db2-aeb8-032bfa1ce771		"Honor MAGIC 5 PRO"	HONOR	PGT-N19	0				"ARM 0xd4e"	aarch64	0	8	0	11677151232	android	14	ro	Linux		4	5.14.137.77		"Digi Mobile RO"	"Digi Mobile RO"	mobile	Mobile	"Cellular network"	"Digi (RCS/RDS)"			226	5	Digi.Mobil		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-59		-91	-13	11		39										3	2	1|7000|4|lte|;15000;75;490;;|;;;;;	lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-53		-88	-14	11		43										3	2		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-53		-88	-14	11		43										3	2					gps	0	4	45.74816	21.23026	143.23809814453		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	gps	0	4	45.74816	21.23026	143.23712158203		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	25		25		OK	1	ios	"FR OVH 10G - Roubaix"	fr	Roubaix	1	0	0	0	0	0	0	0						0	0	0	0	0	0	0					57	53	5	7	http																									0	KCXNT9	"Ancom 1"	232	"[Customized test model]"							0		56	d275c81f-85b3-547b-add1-a1bdfc85f5ce	9317	7539	7539	
3519088497323142	"2024-06-13 18:55:30"	"2024-06-13 18:55:14"	speedDownload	android	1.11.0	3.15.0	51c47238-6d2e-3db2-aeb8-032bfa1ce771		"Honor MAGIC 5 PRO"	HONOR	PGT-N19	0				"ARM 0xd4e"	aarch64	0	8	0	11677151232	android	14	ro	Linux		4	5.14.137.77		"Digi Mobile RO"	"Digi Mobile RO"	mobile	Mobile	"Cellular network"	"Digi (RCS/RDS)"			226	5	Digi.Mobil		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-59		-91	-11	11		40										3	2	1|7000|4|lte|;15000;75;490;;|;;;;;	lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-55		-90	-15	11		46										3	2		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-55		-91	-15	11		42										3	2					gps	0	4	45.74816	21.23026	143.24725341797		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	gps	0	4	45.74816	21.23026	143.23931884766		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	25		25		OK	2750	ios	"GB OVH 10G - Erith"	gb	Erith	1	226569	209541	290100	12003	8	2023	60		2.62	351.255	4.238	314390672	0	0	0	0	0	0	0					0	0	0	0	http	44768	44830																							314390672	KCXNT9	"Ancom 1"	232	"[Customized test model]"							0		0	d275c81f-85b3-547b-add1-a1bdfc85f5ce	9317	7539	7539	
3519088460381964	"2024-06-13 18:55:12"	"2024-06-13 18:54:48"	browse	android	1.11.0	3.15.0	51c47238-6d2e-3db2-aeb8-032bfa1ce771		"Honor MAGIC 5 PRO"	HONOR	PGT-N19	0				"ARM 0xd4e"	aarch64	0	8	0	11677151232	android	14	ro	Linux		4	5.14.137.77		"Digi Mobile RO"	"Digi Mobile RO"	mobile	Mobile	"Cellular network"	"Digi (RCS/RDS)"			226	5	Digi.Mobil		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-61		-89	-9	11		41										3	2	1|7000|4|lte|;15000;75;490;;|;;;;;	lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-53		-89	-10	11		42										3	2		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-55		-89	-14	11		45										3	2					gps	0	4	45.74816	21.23026	143.24060058594		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	gps	0	4	45.74816	21.23026	143.23944091797		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	25		25																																										OK	87.08	https://www.theguardian.com/uk-news/	OK	913	562	952848	93.91												19477697	KCXNT9	"Ancom 1"	232	"[Customized test model]"							0			d275c81f-85b3-547b-add1-a1bdfc85f5ce	9317	7539	7539	
3519088460381964	"2024-06-13 18:55:12"	"2024-06-13 18:54:48"	browse	android	1.11.0	3.15.0	51c47238-6d2e-3db2-aeb8-032bfa1ce771		"Honor MAGIC 5 PRO"	HONOR	PGT-N19	0				"ARM 0xd4e"	aarch64	0	8	0	11677151232	android	14	ro	Linux		4	5.14.137.77		"Digi Mobile RO"	"Digi Mobile RO"	mobile	Mobile	"Cellular network"	"Digi (RCS/RDS)"			226	5	Digi.Mobil		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-61		-89	-9	11		41										3	2	1|7000|4|lte|;15000;75;490;;|;;;;;	lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-53		-89	-10	11		42										3	2		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-55		-89	-14	11		45										3	2					gps	0	4	45.74816	21.23026	143.24060058594		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	gps	0	4	45.74816	21.23026	143.23944091797		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	25		25																																										OK	87.08	https://www.weather-forecast.com/	OK	1911	1366	1681243	87.26												19477697	KCXNT9	"Ancom 1"	232	"[Customized test model]"							0			d275c81f-85b3-547b-add1-a1bdfc85f5ce	9317	7539	7539	
3519088460381964	"2024-06-13 18:55:12"	"2024-06-13 18:54:48"	browse	android	1.11.0	3.15.0	51c47238-6d2e-3db2-aeb8-032bfa1ce771		"Honor MAGIC 5 PRO"	HONOR	PGT-N19	0				"ARM 0xd4e"	aarch64	0	8	0	11677151232	android	14	ro	Linux		4	5.14.137.77		"Digi Mobile RO"	"Digi Mobile RO"	mobile	Mobile	"Cellular network"	"Digi (RCS/RDS)"			226	5	Digi.Mobil		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-61		-89	-9	11		41										3	2	1|7000|4|lte|;15000;75;490;;|;;;;;	lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-53		-89	-10	11		42										3	2		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-55		-89	-14	11		45										3	2					gps	0	4	45.74816	21.23026	143.24060058594		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	gps	0	4	45.74816	21.23026	143.23944091797		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	25		25																																										OK	87.08	https://edition.cnn.com/	OK	3960	1920	7015843	73.6												19477697	KCXNT9	"Ancom 1"	232	"[Customized test model]"							0			d275c81f-85b3-547b-add1-a1bdfc85f5ce	9317	7539	7539	
3519088460381964	"2024-06-13 18:55:12"	"2024-06-13 18:54:48"	browse	android	1.11.0	3.15.0	51c47238-6d2e-3db2-aeb8-032bfa1ce771		"Honor MAGIC 5 PRO"	HONOR	PGT-N19	0				"ARM 0xd4e"	aarch64	0	8	0	11677151232	android	14	ro	Linux		4	5.14.137.77		"Digi Mobile RO"	"Digi Mobile RO"	mobile	Mobile	"Cellular network"	"Digi (RCS/RDS)"			226	5	Digi.Mobil		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-61		-89	-9	11		41										3	2	1|7000|4|lte|;15000;75;490;;|;;;;;	lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-53		-89	-10	11		42										3	2		lteca	4	226	5	28317206					45601		490	22		110614	75	15000	-55		-89	-14	11		45										3	2					gps	0	4	45.74816	21.23026	143.24060058594		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	gps	0	4	45.74816	21.23026	143.23944091797		ro			Timișoara	"Vineri15, 9, Bulevardul Vasile Pârvan, Complexul Studențesc, Timișoara, Timiș, 300224, Romania"	25		25																																										OK	87.08	https://meeting-roanne.net/	OK	971	777	9827763	93.53												19477697	KCXNT9	"Ancom 1"	232	"[Customized test model]"							0			d275c81f-85b3-547b-add1-a1bdfc85f5ce	9317	7539	7539	
