TEST_ID	DATETIME_UTC	START_DATETIME_UTC	TEST_TYPE	APP_PLATFORM	APP_VERSION	ENGINE_VERSION	DEVICE_UUID	DEVICE_ALIAS	DEVICE	DEVICE_HWBRAND	DEVICE_HWMODEL	DEVICE_HACKED	DEVICE_BOARD_BRAND	DEVICE_BOARD_MODEL	DEVICE_CPU_BRAND	DEVICE_CPU_MODEL	DEVICE_CPU_ARCH	DEVICE_CPU_FREQUENCY	DEVICE_CPU_CORES	DEVICE_CPU_AES_SUPPORT	DEVICE_RAM	OS_NAME	OS_VERSION	OS_LOCALE	OS_KERNEL_TYPE	OS_KERNEL_VERSION	IP_VERSION	IPV4	IPV6	ISP	MOBILE_ISP	NET_TYPE	NET_TECHNO	NET_COMMENT	NET_NAME	NET_BEST_DOWNLINK_SPEED	NET_BEST_UPLINK_SPEED	MOBILE_SIM_MCC	MOBILE_SIM_MNC	MOBILE_SIM_OP	MOBILE_APN	RA_START_MODE	RA_START_CELL_GEN	RA_START_NET_MCC	RA_START_NET_MNC	RA_START_CELL_ID	RA_START_BASE_STATION_ID	RA_START_NETWORK_ID	RA_START_SYSTEM_ID	RA_START_LAC	RA_START_TAC	RA_START_PSC	RA_START_PCI	RA_START_CID	RA_START_RNC	RA_START_ENB	RA_START_ARFCN	RA_START_BANDWIDTH	RA_START_RSSI	RA_START_RSCP	RA_START_RSRP	RA_START_RSRQ	RA_START_RSSNR	RA_START_CQI	RA_START_ASU	RA_START_ECIO	RA_START_BER	RA_START_SNR	RA_START_CSI_RSRP	RA_START_CSI_RSRQ	RA_START_CSI_SINR	RA_START_SS_RSRP	RA_START_SS_RSRQ	RA_START_SS_SINR	RA_START_LEVEL	RA_START_TIMING_ADVANCE	RA_START_CARRIERS	RA_BEST_MODE	RA_BEST_CELL_GEN	RA_BEST_NET_MCC	RA_BEST_NET_MNC	RA_BEST_CELL_ID	RA_BEST_BASE_STATION_ID	RA_BEST_NETWORK_ID	RA_BEST_SYSTEM_ID	RA_BEST_LAC	RA_BEST_TAC	RA_BEST_PSC	RA_BEST_PCI	RA_BEST_CID	RA_BEST_RNC	RA_BEST_ENB	RA_BEST_ARFCN	RA_BEST_BANDWIDTH	RA_BEST_RSSI	RA_BEST_RSCP	RA_BEST_RSRP	RA_BEST_RSRQ	RA_BEST_RSSNR	RA_BEST_CQI	RA_BEST_ASU	RA_BEST_ECIO	RA_BEST_BER	RA_BEST_SNR	RA_BEST_CSI_RSRP	RA_BEST_CSI_RSRQ	RA_BEST_CSI_SINR	RA_BEST_SS_RSRP	RA_BEST_SS_RSRQ	RA_BEST_SS_SINR	RA_BEST_LEVEL	RA_BEST_TIMING_ADVANCE	RA_BEST_CARRIERS	RA_END_MODE	RA_END_CELL_GEN	RA_END_NET_MCC	RA_END_NET_MNC	RA_END_CELL_ID	RA_END_BASE_STATION_ID	RA_END_NETWORK_ID	RA_END_SYSTEM_ID	RA_END_LAC	RA_END_TAC	RA_END_PSC	RA_END_PCI	RA_END_CID	RA_END_RNC	RA_END_ENB	RA_END_ARFCN	RA_END_BANDWIDTH	RA_END_RSSI	RA_END_RSCP	RA_END_RSRP	RA_END_RSRQ	RA_END_RSSNR	RA_END_CQI	RA_END_ASU	RA_END_ECIO	RA_END_BER	RA_END_SNR	RA_END_CSI_RSRP	RA_END_CSI_RSRQ	RA_END_CSI_SINR	RA_END_SS_RSRP	RA_END_SS_RSRQ	RA_END_SS_SINR	RA_END_LEVEL	RA_END_TIMING_ADVANCE	RA_END_CARRIERS	WIFI_BSSID	WIFI_FREQUENCY	WIFI_SPOT	LOCATION_START_TYPE	LOCATION_START_FAKE	LOCATION_START_ACCURACY	LOCATION_START_LAT	LOCATION_START_LNG	LOCATION_START_ALTITUDE	LOCATION_START_ALTITUDE_ACCURACY	LOCATION_START_COUNTRY	LOCATION_START_AAL1	LOCATION_START_AAL2	LOCATION_START_LOCALITY	LOCATION_START_FULL_ADDRESS	LOCATION_END_TYPE	LOCATION_END_FAKE	LOCATION_END_ACCURACY	LOCATION_END_LAT	LOCATION_END_LNG	LOCATION_END_ALTITUDE	LOCATION_END_ALTITUDE_ACCURACY	LOCATION_END_COUNTRY	LOCATION_END_AAL1	LOCATION_END_AAL2	LOCATION_END_LOCALITY	LOCATION_END_FULL_ADDRESS	ENV_START_BATTERY_LEVEL	ENV_START_BATTERY_CHARGING	ENV_END_BATTERY_LEVEL	ENV_END_BATTERY_CHARGING	SPEED_STATUS	SPEED_SERVER_POOL_ID	SPEED_SERVER_POOL_TYPE	SPEED_SERVER_POOL_NAME	SPEED_SERVER_POOL_COUNTRY	SPEED_SERVER_POOL_LOCALITY	SPEED_SERVER_POOL_AUTOSELECT	SPEED_DOWNLOAD_AVG_EXCL_SLOWSTART	SPEED_DOWNLOAD_AVG_INC_SLOWSTART	SPEED_DOWNLOAD_PEAK	SPEED_DOWNLOAD_DURATION	SPEED_DOWNLOAD_CONNECTIONS	SPEED_DOWNLOAD_SLOWSTART_DURATION	SPEED_DOWNLOAD_CONNECTION_TIME	SPEED_DOWNLOAD_TLS_HANDSHAKE_TIME	SPEED_DOWNLOAD_PACKETLOSS	SPEED_DOWNLOAD_LOADED_LATENCY	SPEED_DOWNLOAD_LOADED_JITTER	SPEED_DOWNLOAD_BYTES_TRANSFERRED	SPEED_UPLOAD_AVG_EXCL_SLOWSTART	SPEED_UPLOAD_AVG_INC_SLOWSTART	SPEED_UPLOAD_PEAK	SPEED_UPLOAD_DURATION	SPEED_UPLOAD_CONNECTIONS	SPEED_UPLOAD_SLOWSTART_DURATION	SPEED_UPLOAD_CONNECTION_TIME	SPEED_UPLOAD_TLS_HANDSHAKE_TIME	SPEED_UPLOAD_LOADED_LATENCY	SPEED_UPLOAD_LOADED_JITTER	SPEED_UPLOAD_BYTES_TRANSFERRED	SPEED_LATENCY_AVG	SPEED_LATENCY_MIN	SPEED_LATENCY_JITTER	SPEED_LATENCY_SAMPLES	SPEED_PROTOCOL	SPEED_SOURCE_PORT_RANGE_MIN	SPEED_SOURCE_PORT_RANGE_MAX	FILE_SIZE	FILE_TYPE	FILE_URL	BROWSE_STATUS	BROWSE_PR	BROWSE_URL	BROWSE_URL_STATUS	BROWSE_URL_LOADING_TIME	BROWSE_URL_FCP	BROWSE_URL_WEIGHT	BROWSE_URL_PR	BROWSE_URL_INDEX	STREAM_QUALITY	STREAM_STATUS	STREAM_PR	STREAM_QUALITY_STATUS	STREAM_QUALITY_TOTAL_TIME	STREAM_QUALITY_PRELOADING_TIME	STREAM_QUALITY_REBUFFERING_TIME	STREAM_QUALITY_WEIGHT	STREAM_QUALITY_PR	STREAM_CODE	BYTES_TRANSFERRED	FLEET_CODE	FLEET_NAME	SCENARIO_ID	SCENARIO_NAME	SCHEDULING_NAME	EXTRA_SCRIPT	EXTRA_VALUE	WIFI_START_RSSI	WIFI_BEST_RSSI	WIFI_END_RSSI	SCHEDULED	MOBILE_MSISDN	SPEED_LATENCY_MEDIAN	SCENARIO_RUN_ID	DEVICE_ID	ISP_ID	MOBILE_ISP_ID	FORM_NAME
3519246912480571	"2024-06-14 16:24:41"	"2024-06-14 16:23:51"	speedUpload	android	1.11.0	3.15.0	2bbfd90b-ec83-3a8d-b163-b84e4f61b09f	"Emil Orange"	"Samsung Galaxy A54"	samsung	SM-A546B	0				"ARM 0xd41"	aarch64	0	8	0	7799480320	android	14	ro	Linux		4	109.166.130.94		"Orange Mobile RO"	"Orange Mobile RO"	mobile	Mobile	"Cellular network"	Orange			226	10	orange		lte	4	226	10	2849542					10112		40	6		11131	2950		-77		-77	-11	6	12	60										4	2	1|7001|4|lte|;;2950;40;;|;;;;;	lteca	4	226	10	2849542					10112		40	6		11131	2950		-77		-77	-11	6	12	60										4	2		lte	4	226	10	2849542					10112		40	6		11131	2950		-77		-75	-9	-8	10	60										4	1					gps	0	1	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	gps	0	1	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	54.000004		54.000004		Failed						1	0	0	0	0	0	0	0						0	0	0	0	0	0	0					0	0	0	0	none																									0	KCXNT9	"Ancom 1"	14574	"Demo "							0		0	6774ea2c-4b1e-5c2b-8225-a328a943fdf1	9304	171614	171614	
3519246911457137	"2024-06-14 16:24:40"	"2024-06-14 16:24:24"	browse	android	1.11.0	3.15.0	2bbfd90b-ec83-3a8d-b163-b84e4f61b09f	"Emil Orange"	"Samsung Galaxy A54"	samsung	SM-A546B	0				"ARM 0xd41"	aarch64	0	8	0	7799480320	android	14	ro	Linux		4	109.166.130.94		"Orange Mobile RO"	"Orange Mobile RO"	mobile	Mobile	"Cellular network"	Orange			226	10	orange		lte	4	226	10	2849542					10112		40	6		11131	2950		-77		-75	-8	5	10	60										4	1	1|7001|4|lte|;;2950;40;;|;;;;;	lte	4	226	10	2849542					10112		40	6		11131	2950		-77		-75	-8	5	10	60										4	1		lte	0	0	0	2849542					10112		40	6		11131																									gps	0	2	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	gps	0	2	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	54.000004		54.000004																																										NetDown	0																		0	KCXNT9	"Ancom 1"	14574	"Demo "							0			6774ea2c-4b1e-5c2b-8225-a328a943fdf1	9304	171614	171614	
3519246910440688	"2024-06-14 16:24:40"	"2024-06-14 16:24:23"	speedLatency	android	1.11.0	3.15.0	2bbfd90b-ec83-3a8d-b163-b84e4f61b09f	"Emil Orange"	"Samsung Galaxy A54"	samsung	SM-A546B	0				"ARM 0xd41"	aarch64	0	8	0	7799480320	android	14	ro	Linux		4	109.166.130.94		"Orange Mobile RO"	"Orange Mobile RO"	mobile	Mobile	"Cellular network"	Orange			226	10	orange		lte	4	226	10	2849542					10112		40	6		11131	2950		-77		-75	-8	5	10	60										4	1	1|7001|4|lte|;;2950;40;;|;;;;;	lte	4	226	10	2849542					10112		40	6		11131	2950		-77		-75	-8	5	10	60										4	1		lte	4	226	10	2849542					10112		40	6		11131	2950		-77		-75	-8	5	10	60										4	1					gps	0	1	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	gps	0	1	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	54.000004		54.000004		Failed						1	0	0	0	0	0	0	0						0	0	0	0	0	0	0					0	0	0	0	none																									0	KCXNT9	"Ancom 1"	14574	"Demo "							0		0	6774ea2c-4b1e-5c2b-8225-a328a943fdf1	9304	171614	171614	
3519246909413474	"2024-06-14 16:24:39"	"2024-06-14 16:24:31"	speedDownload	android	1.11.0	3.15.0	2bbfd90b-ec83-3a8d-b163-b84e4f61b09f	"Emil Orange"	"Samsung Galaxy A54"	samsung	SM-A546B	0				"ARM 0xd41"	aarch64	0	8	0	7799480320	android	14	ro	Linux		4	109.166.130.94		"Orange Mobile RO"		none	Mobile	"Cellular network"									0	0	0																																		0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		lteca	4	226	10	2849542					10112		40	6		11131	2950	0	-77	0	-77	-12	1	8	60	0	0	0	0	0	0	0	0	0	4	2					gps	0	1	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	gps	0	1	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	54.000004		54.000004		OK	5545	ps	"RO DataPacket 10G - Bucharest"	ro	Bucharest	1	33276	33276	40490	5029	8	0	176		0	158.994	32.024	20918256	0	0	0	0	0	0	0					0	0	0	0	http	60074	60136																							20918256	KCXNT9	"Ancom 1"	14574	"Demo "							0		0	6eda99cd-2366-5c77-b4df-c3faaa4c45d6	9304	171614		
3519246313599654	"2024-06-14 16:19:49"	"2024-06-14 16:18:19"	speedUpload	android	1.11.0	3.15.0	2bbfd90b-ec83-3a8d-b163-b84e4f61b09f	"Emil Orange"	"Samsung Galaxy A54"	samsung	SM-A546B	0				"ARM 0xd41"	aarch64	0	8	0	7799480320	android	14	ro	Linux		4	109.166.130.94		"Orange Mobile RO"	"Orange Mobile RO"	mobile	Mobile	"Cellular network"	Orange			226	10	orange		lteca	4	226	10	2849542					10112		40	6		11131	2950		-75		-74	-8	7	12	62										4	3	1|7001|4|lte|;;2950;40;;|;;;;;	lteca	4	226	10	2849542					10112		40	6		11131	2950		-75		-74	-8	7	12	62										4	3		lte	4	226	10	2849542					10112		40	6		11131	2950		-77		-76	-9	6	10	62										4	2					gps	0	2	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	gps	0	2	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	55		54.000004		Failed						1	0	0	0	0	0	0	0						0	0	0	0	0	0	0					0	0	0	0	none																									0	KCXNT9	"Ancom 1"	14574	"Demo "							0		0	4b1385ad-fa85-5380-8557-a1f7f024db94	9304	171614	171614	
3519246310325050	"2024-06-14 16:19:47"	"2024-06-14 16:19:39"	speedDownload	android	1.11.0	3.15.0	2bbfd90b-ec83-3a8d-b163-b84e4f61b09f	"Emil Orange"	"Samsung Galaxy A54"	samsung	SM-A546B	0				"ARM 0xd41"	aarch64	0	8	0	7799480320	android	14	ro	Linux		4	109.166.130.94		"Orange Mobile RO"	"Orange Mobile RO"	mobile	Mobile	"Cellular network"	Orange			226	10	orange		lteca	4	226	10	2849542					10112		40	6		11131	2950		-77		-77	-8	5	12	62										4	3	1|7001|4|lte|;;2950;40;;|;;;;;	lteca	4	226	10	2849542					10112		40	6		11131	2950		-77		-77	-8	5	12	62										4	3		lteca	4	226	10	2849542					10112		40	6		11131	2950		-77		-75	-13	0	9	62										4	3					gps	0	2	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	gps	0	2	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	54.000004		54.000004		OK	5545	ps	"RO DataPacket 10G - Bucharest"	ro	Bucharest	1	42079	42079	51286	5030	8	0	110		0	90.824	12.145	26457328	0	0	0	0	0	0	0					0	0	0	0	http	38704	38770																							26457328	KCXNT9	"Ancom 1"	14574	"Demo "							0		0	a994f30f-ce16-5bb6-88e4-00598e1b8889	9304	171614	171614	
3519246294487119	"2024-06-14 16:19:39"	"2024-06-14 16:18:50"	speedLatency	android	1.11.0	3.15.0	2bbfd90b-ec83-3a8d-b163-b84e4f61b09f	"Emil Orange"	"Samsung Galaxy A54"	samsung	SM-A546B	0				"ARM 0xd41"	aarch64	0	8	0	7799480320	android	14	ro	Linux		4	109.166.130.94		"Orange Mobile RO"	"Orange Mobile RO"	mobile	Mobile	"Cellular network"	Orange			226	10	orange		lte	4	226	10	2849542					10112		40	6		11131	2950		-77		-76	-12	0	10	62										4	2	1|7001|4|lte|;;2950;40;;|;;;;;	lteca	4	226	10	2849542					10112		40	6		11131	2950		-77		-76	-10	0	10	61										4	2		lteca	0	0	0	2849542					10112		40	6		11131																									gps	0	2	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	gps	0	2	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	54.000004		54.000004		NetDown						1	0	0	0	0	0	0	0						0	0	0	0	0	0	0					0	0	0	0	none																									0	KCXNT9	"Ancom 1"	14574	"Demo "							0		0	4b1385ad-fa85-5380-8557-a1f7f024db94	9304	171614	171614	
3519246292991945	"2024-06-14 16:19:38"	"2024-06-14 16:19:05"	browse	android	1.11.0	3.15.0	2bbfd90b-ec83-3a8d-b163-b84e4f61b09f	"Emil Orange"	"Samsung Galaxy A54"	samsung	SM-A546B	0				"ARM 0xd41"	aarch64	0	8	0	7799480320	android	14	ro	Linux		4	109.166.130.94		"Orange Mobile RO"		none	Mobile	"Cellular network"									0	0	0																																		0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					gps	0	2	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	gps	0	2	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	54.000004		54.000004																																										NetDown	0																		0	KCXNT9	"Ancom 1"	14574	"Demo "							0			4b1385ad-fa85-5380-8557-a1f7f024db94	9304	171614		
3519246291210966	"2024-06-14 16:19:38"	"2024-06-14 16:19:07"	streaming	android	1.11.0	3.15.0	2bbfd90b-ec83-3a8d-b163-b84e4f61b09f	"Emil Orange"	"Samsung Galaxy A54"	samsung	SM-A546B	0				"ARM 0xd41"	aarch64	0	8	0	7799480320	android	14	ro	Linux		4	109.166.130.94		"Orange Mobile RO"		none	Mobile	"Cellular network"									0	0	0																																		0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		lteca	4	226	10	2849542					10112		40	6		11131	2950	0	-77	0	-76	-8	2	9	61	0	0	0	0	0	0	0	0	0	4	3					gps	0	2	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	gps	0	2	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	54.000004		54.000004																																																			360	OK	88.12	OK	11344	1305	0	459384	88.51	72etp8S3ojQ	1720671	KCXNT9	"Ancom 1"	14574	"Demo "							0			4b1385ad-fa85-5380-8557-a1f7f024db94	9304	171614		
3519246291210966	"2024-06-14 16:19:38"	"2024-06-14 16:19:07"	streaming	android	1.11.0	3.15.0	2bbfd90b-ec83-3a8d-b163-b84e4f61b09f	"Emil Orange"	"Samsung Galaxy A54"	samsung	SM-A546B	0				"ARM 0xd41"	aarch64	0	8	0	7799480320	android	14	ro	Linux		4	109.166.130.94		"Orange Mobile RO"		none	Mobile	"Cellular network"									0	0	0																																		0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		lteca	4	226	10	2849542					10112		40	6		11131	2950	0	-77	0	-76	-8	2	9	61	0	0	0	0	0	0	0	0	0	4	3					gps	0	2	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	gps	0	2	44.42414	26.12261	114		ro			Bucharest	"Bl. M106, Aleea Poet Emil Botta, Centrul Civic, Sector 3, Bucharest, 031141, Romania"	54.000004		54.000004																																																			720	OK	88.12	OK	11449	1400	0	1261287	87.72	72etp8S3ojQ	1720671	KCXNT9	"Ancom 1"	14574	"Demo "							0			4b1385ad-fa85-5380-8557-a1f7f024db94	9304	171614		
